Data,IGPDI,ICMS
2011.04,457.059,246963.0
2011.05,457.09,306688.0
2011.06,456.49,250304.0
2011.07,456.258,266970.0
2011.08,459.055,275027.0
2011.09,462.509,278585.0
2011.1,464.349,277274.0
2011.11,466.331,255058.0
2011.12,465.586,298129.0
2012.01,466.979,320475.0
2012.02,467.308,266746.0
2012.03,469.91,298286.0
2012.04,474.683,284437.0
2012.05,479.019,285389.0
2012.06,482.311,305933.0
2012.07,489.621,292244.0
2012.08,495.949,308934.0
2012.09,500.314,304508.0
2012.1,498.739,315248.0
2012.11,499.989,341943.0
2012.12,503.283,366369.0
2013.01,504.83,325939.0
2013.02,505.832,311541.0
2013.03,507.375,289142.0
2013.04,507.087,327990.0
2013.05,508.715,323676.0
2013.06,512.598,329564.0
2013.07,513.313,331023.0
2013.08,515.688,343078.0
2013.09,522.69,358180.0
2013.1,525.966,341221.0
2013.11,527.422,361248.0
2013.12,531.056,390869.0
2014.01,533.197,346845.0
2014.02,537.703,352313.0
2014.03,545.684,340424.93341
2014.04,548.145,346240.58454
2014.05,545.652,338442.40993
2014.06,542.194,352748.90705
2014.07,539.21,326895.45885
2014.08,539.55,375630.49619
2014.09,539.649,366539.56004
2014.1,542.853,363683.50398
2014.11,549.04,385694.50072
2014.12,551.149,413902.65037
2015.01,554.835,394963.63749
2015.02,557.803,362469.72368
2015.03,564.568,357382.47971
2015.04,569.738,374386.28064
2015.05,572.034,345935.50274
2015.06,575.938,357376.61572
2015.07,579.293,367304.62153
2015.08,581.618,361961.22364
2015.09,589.897,363560.47056
2015.1,600.269,357478.47978
2015.11,607.441,374964.43842
2015.12,610.128,390954.61324
2016.01,619.476,401275.67266
2016.02,624.366,390640.54801
2016.03,627.06,384662.62172
2016.04,629.345,398127.25744
2016.05,636.468,361685.02
2016.06,646.868,383128.2582
2016.07,644.356,387149.07025
2016.08,647.153,419232.82702
2016.09,647.36,420609.76017
2016.1,648.213,372375.33215
2016.11,648.561,419697.8529
2016.12,653.951,434479.41053
2017.01,656.778,457683.40677
2017.02,657.191,391282.83734
2017.03,654.709,397874.38478
2017.04,646.573,401036.14903
2017.05,643.26,386153.46374
2017.06,637.079,462616.13828
2017.07,635.198,420716.18455
2017.08,636.714,368963.12788
2017.09,640.654,424293.87366
2017.1,641.279,424851.24334
2017.11,646.422,453911.92009
2017.12,651.214,456323.1882
2018.01,654.968,491580.7752
2018.02,655.975,424528.68781
2018.03,659.665,453825.74844
2018.04,665.77,512980.79038
2018.05,676.695,432716.95979
2018.06,686.696,416636.20358
2018.07,689.746,471652.10659
2018.08,694.414,461650.44582
2018.09,706.834,484396.78777
2018.1,708.694,486926.18119
2018.11,700.601,501900.87166
2018.12,697.446,523500.49387
2019.01,697.923,529925.9401
2019.02,706.66,470175.71776
2019.03,714.243,454366.76743
2019.04,720.695,465648.14083
2019.05,723.577,440976.85572
2019.06,728.142,471408.33774
2019.07,728.084,453825.74844
2019.08,724.395,512980.79038
2019.09,728.04,455850.01519
2019.1,732.041,445164.97114
2019.11,738.264,539229.33471
2019.12,751.121,502445.75559
2020.01,751.82,510552.58044
2020.02,751.91,470577.70594
2020.03,764.276,460174.80986
2020.04,764.656,395919.37879
2020.05,772.843,372120.68328
2020.06,785.221,382314.18951
2020.07,803.584,419449.32709
2020.08,834.713,500235.86083
2020.09,862.259,544627.7489
2020.1,893.997,526969.66427
2020.11,917.538,572594.8437
2020.12,924.504,725580.50217
